Functionality Matrix Reference,Application Requirements / Use Case,Module,Requirement Description,Source Code / Path,Unit/Module Test Case ID,Release Details,UAT Status,Defect ID,Defect Status,Remarks,,,,,,,,,
FM-001,Admin Login - Valid,Authentication,System must authenticate admin with valid credentials,adminSide\login\admin_login.html | PHP\firebase_config.php,TC-A101,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Critical, TS-A01: Validate admin login credentials, TC Desc: Log in with valid admin credentials",,,,,,,,,
FM-002,Admin Login - Invalid,Authentication,System must reject admin login attempts with invalid credentials,adminSide\login\admin_login.html | PHP\firebase_config.php,TC-A102,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Critical, TS-A01: Validate admin login credentials, TC Desc: Attempt to log in with invalid credentials",,,,,,,,,
FM-003,Add Product,Inventory Management,Admin must add new products to inventory,adminSide\products\AddNewProduct.php | PHP\db_connect.php | PHP\product_functions.php,TC-A103,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Major, TS-A02: Manage product inventory, TC Desc: Add new product and verify listing",,,,,,,,,
FM-004,Edit Product,Inventory Management,Admin must edit existing products,PHP\db_connect.php | PHP\product_functions.php | adminSide\products\ManageProduct.php,TC-A104,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Major, TS-A02: Manage product inventory, TC Desc: Edit an existing product and save changes",,,,,,,,,
FM-005,Delete Product,Inventory Management,Admin must remove products from inventory,PHP\db_connect.php | PHP\product_functions.php | adminSide\products\ManageProduct.php,TC-A105,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Major, TS-A02: Manage product inventory, TC Desc: Delete a product and confirm the removal",,,,,,,,,
FM-006,View Customer Orders,Order Management,Admin must view and track customer orders,adminSide\ORDERS\ManageOrders.php | PHP\db_connect.php | PHP/order_functions.php | PHP/order_item_functions.php | PHP/user_functions.php,TC-A106,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Major, TS-A03: Manage order flow, TC Desc: View pending/completed orders",,,,,,,,,
FM-007,Update Order Status,Order Management,Admin must update customer order statuses,adminSide\ORDERS\ManageOrders.php | PHP\db_connect.php | PHP/order_functions.php | PHP/order_item_functions.php | PHP/user_functions.php,TC-A107,Release v1.0,Not Executed,N/A,Open,"Priority: High, Severity: Major, TS-A03: Manage order flow, TC Desc: Change order status (e.g., Preparing, Delivered)",,,,,,,,,
FM-008,Generate Sales Report,Reporting,Admin must generate sales reports,PHP\db_connect.php | adminSide\Reports\FinanceSalesReport.php,TC-A108,Release v1.0,Not Executed,N/A,Open,"Priority: Medium, Severity: Minor, TS-A04: Validate report generation, TC Desc: Export sales reports (daily/monthly)",,,,,,,,,
FM-009,Generate Inventory Report,Reporting,Admin must produce inventory summary reports,PHP\inventory_functions.php | PHP\db_connect.php | adminSide\Reports\InventoryReport.php,TC-A109,Release v1.0,Not Executed,N/A,Open,"Priority: Medium, Severity: Minor, TS-A04: Validate report generation, TC Desc: Generate an inventory summary with filters",,,,,,,,,
FM-010,Manage User Roles,Access Control,Admin must manage user roles and access permissions,adminSide\dashboard\user.php | PHP\user_functions.php | PHP\blacklist_functions.php,TC-A110,Release v1.0,Not Executed,N/A,Open,"Priority: Medium, Severity: Major, TS-A05: Enforce role-based access control, TC Desc: Assign roles and test access limits",,,,,,,,,
FM-011,User Registration - New,Authentication,User must register with email or mobile,userSide\LOGIN_SIGNUP\signup.html | PHP\register_user.php | PHP\firebase_config.php,TC-U101,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U01: Test registration flow, TC Desc: Register with a valid email and password",,,,,,,,,
FM-012,User Registration - Existing Email,Authentication,System must prevent registration with an existing email,userSide\LOGIN_SIGNUP\signup.html | PHP\register_user.php | PHP\firebase_config.php,TC-U102,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U01: Test registration flow, TC Desc: Attempt to register with an existing email",,,,,,,,,
FM-013,User Login - Valid,Authentication,User must log in with valid credentials,userSide\LOGIN_SIGNUP\user_login.html | PHP\firebase_config.php,TC-U103,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U02: Validate login credentials, TC Desc: Log in with the correct credentials",,,,,,,,,
FM-014,User Login - Invalid,Authentication,System must block user login with invalid credentials,userSide\LOGIN_SIGNUP\user_login.html | PHP\firebase_config.php,TC-U104,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U02: Validate login credentials, TC Desc: Invalid login attempt",,,,,,,,,
FM-015,Browse Products,Product Catalog,User must view available products in catalog,userSide\PRODUCT\MENU.php | userSide\PRODUCT\product.php | PHP\db_connect.php | PHP\product_functions.php,TC-U105,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Major, TS-U03: Validate product display, TC Desc: View products by category/price",,,,,,,,,
FM-016,Place Order,Ordering,User must place an order after adding items to cart,userSide\CART\cart_checkout_page.php | PHP\cart_api.php | PHP\order_api.php | PHP\order_functions.php | PHP\order_item_functions.php,TC-U106,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U04: Test order flow, TC Desc: Add items to the cart and place an order",,,,,,,,,
FM-017,Order Confirmation,Ordering,System must confirm orders with reference ID,userSide\CART\cart_checkout_page.php | PHP\cart_api.php | PHP\order_api.php | PHP\order_functions.php | PHP\order_item_functions.php,TC-U107,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Critical, TS-U04: Test order flow, TC Desc: Receive order confirmation and reference ID",,,,,,,,,
FM-018,View Order History,Ordering,User must view past orders and their status,userSide\PURCHASES\MyPurchase.php | PHP\order_api.php | PHP\order_functions.php | PHP\order_item_functions.php,TC-U108,Release v1.0,Pending,N/A,Open,"Priority: Medium, Severity: Moderate, TS-U05: Test order tracking, TC Desc: View the list of past orders with status",,,,,,,,,
